Gene,Occurrences,,,,,
NFYA,9,,,,,
PDZD11,9,,,,,
PIK3IP1,9,,,,,
PLIN2,9,,,,,
POLR2B,9,,,,,
PPIP5K2,9,,,,,
RPL18A,9,,,,,
RPL5,9,,,,,
SLC6A6,9,,,,,
SLURP1,9,,,,,
SMARCD2,9,,,,,
STARD4,9,,,,,
STMN1,9,,,,,
TENM4,9,,,,,
TOP 1.00,9,,,,,
VIT,9,,,,,
WDR61,9,,,,,
ZBTB16,9,,,,,
ZYX,9,,,,,
ADGRA2,8,,,,,
CCNG1,8,,,,,
CD180,8,,,,,
CLEC4G,8,,,,,
FAM20C,8,,,,,
GADD45G,8,,,,,
IQGAP2,8,,,,,
IRX3,8,,,,,
JCHAIN,8,,,,,
MGAT5,8,,,,,
MLPH,8,,,,,
NRIP1,8,,,,,
PAPPA,8,,,,,
PFKL,8,,,,,
PLK2,8,,,,,
PRDX6,8,,,,,
SNX20,8,,,,,
ST6GAL1,8,,,,,
TERF1,8,,,,,
TMED3,8,,,,,
TMEM120B,8,,,,,
TRAIP,8,,,,,
TSPAN33,8,,,,,
WFDC2,8,,,,,
ACER3,7,,,,,
ALOX5AP,7,,,,,
ARID3A,7,,,,,
ARL5C,7,,,,,
ATP7B,7,,,,,
CD164,7,,,,,
CNNM3,7,,,,,
CTNND1,7,,,,,
DNMT3B,7,,,,,
EXTL1,7,,,,,
FNIP2,7,,,,,
FTO,7,,,,,
GGCX,7,,,,,
GOT1,7,,,,,
HHAT,7,,,,,
HSD11B2,7,,,,,
KCNK6,7,,,,,
KCTD6,7,,,,,
KIF14,7,,,,,
KLK10,7,,,,,
MYO1G,7,,,,,
PADI2,7,,,,,
PANK3,7,,,,,
PDS5A,7,,,,,
PHACTR1,7,,,,,
PLEKHM1,7,,,,,
PPM1G,7,,,,,
QSOX1,7,,,,,
RASD2,7,,,,,
RASSF6,7,,,,,
RNF214,7,,,,,
RPRD1B,7,,,,,
SLA2,7,,,,,
SLC25A21,7,,,,,
SMARCA5,7,,,,,
SSTR4,7,,,,,
SYN3,7,,,,,
TNS2,7,,,,,
TRO,7,,,,,
TSHB,7,,,,,
ZMYND15,7,,,,,
APOBR,6,,,,,
C1QTNF1,6,,,,,
CENPJ,6,,,,,
CHID1,6,,,,,
CHIL1,6,,,,,
CLEC4A2,6,,,,,
CORIN,6,,,,,
CSF2RB,6,,,,,
CSN3,6,,,,,
CXCR6,6,,,,,
DEDD,6,,,,,
FBLIM1,6,,,,,
FYB,6,,,,,
GOLGA2,6,,,,,
GPSM3,6,,,,,
HOMER2,6,,,,,
KRT17,6,,,,,
LRWD1,6,,,,,
MYBL2,6,,,,,
MYRF,6,,,,,
N4BP2L2,6,,,,,
NDRG1,6,,,,,
OLAH,6,,,,,
PDE12,6,,,,,
PFKFB3,6,,,,,
PIRB,6,,,,,
PPP1R2,6,,,,,
RAD51C,6,,,,,
RRS1,6,,,,,
SERPINB5,6,,,,,
SH3D19,6,,,,,
SLCO2B1,6,,,,,
SOAT2,6,,,,,
SYN2,6,,,,,
TMC8,6,,,,,
TNR,6,,,,,
TOP2A,6,,,,,
ADGRE1,5,,,,,
AGPS,5,,,,,
ALDH18A1,5,,,,,
ALDOC,5,,,,,
CAR2,5,,,,,
CBX6,5,,,,,
CCDC61,5,,,,,
CD84,5,,,,,
CDC7,5,,,,,
COL6A3,5,,,,,
DMBT1,5,,,,,
DOC2B,5,,,,,
DUSP8,5,,,,,
EMB,5,,,,,
EMILIN2,5,,,,,
GALR2,5,,,,,
GCDH,5,,,,,
GSTM1,5,,,,,
H19,5,,,,,
HLF,5,,,,,
IL34,5,,,,,
ITGBL1,5,,,,,
KCNMB1,5,,,,,
LY6D,5,,,,,
LY86,5,,,,,
LYZ2,5,,,,,
LZTFL1,5,,,,,
PHF23,5,,,,,
PLXNB1,5,,,,,
PPIE,5,,,,,
PRCP,5,,,,,
RAB43,5,,,,,
RBM15,5,,,,,
RNASEH2A,5,,,,,
RNF180,5,,,,,
RPH3AL,5,,,,,
SFPQ,5,,,,,
SGK3,5,,,,,
SH3PXD2A,5,,,,,
SLC16A5,5,,,,,
SLC24A5,5,,,,,
SLC9A2,5,,,,,
TBX6,5,,,,,
TCN2,5,,,,,
TMPRSS6,5,,,,,
TRAP1,5,,,,,
ANGEL2,4,,,,,
ASPM,4,,,,,
BACH1,4,,,,,
BPIFA2,4,,,,,
CERS2,4,,,,,
CHAF1A,4,,,,,
COMMD1,4,,,,,
DCLRE1B,4,,,,,
DGKI,4,,,,,
FAM49B,4,,,,,
FBLN2,4,,,,,
GALM,4,,,,,
GCLC,4,,,,,
GGTA1,4,,,,,
GMEB1,4,,,,,
GPC6,4,,,,,
HC,4,,,,,
ICAM2,4,,,,,
IFIT2,4,,,,,
KAT5,4,,,,,
KCNA3,4,,,,,
KHDRBS3,4,,,,,
LAO1,4,,,,,
LOXL4,4,,,,,
LPCAT2,4,,,,,
LRP12,4,,,,,
MED29,4,,,,,
MUC15,4,,,,,
PEG3,4,,,,,
RABEPK,4,,,,,
RIN2,4,,,,,
SAFB,4,,,,,
SCARA3,4,,,,,
SCN10A,4,,,,,
SLC28A3,4,,,,,
SLC39A8,4,,,,,
ST3GAL6,4,,,,,
SYTL3,4,,,,,
TAPT1,4,,,,,
TARDBP,4,,,,,
TMPRSS2,4,,,,,
TNS3,4,,,,,
TRF,4,,,,,
TTC30B,4,,,,,
VAC14,4,,,,,
AEBP2,3,,,,,
AKNA,3,,,,,
ARMC1,3,,,,,
ATAT1,3,,,,,
BFSP2,3,,,,,
BMP3,3,,,,,
CDK19,3,,,,,
CENPX,3,,,,,
CETN2,3,,,,,
CHMP1A,3,,,,,
CLEC1A,3,,,,,
CMTM7,3,,,,,
CSN1S1,3,,,,,
DEGS2,3,,,,,
DOK7,3,,,,,
ELK3,3,,,,,
EME1,3,,,,,
EPN2,3,,,,,
FOXQ1,3,,,,,
GLIS2,3,,,,,
GLYCAM1,3,,,,,
HIF3A,3,,,,,
INCENP,3,,,,,
KCNH1,3,,,,,
KCNJ15,3,,,,,
KIF20B,3,,,,,
LALBA,3,,,,,
MAP1B,3,,,,,
MAP4K4,3,,,,,
MMP24,3,,,,,
NUDT6,3,,,,,
OCSTAMP,3,,,,,
PHYKPL,3,,,,,
PIEZO1,3,,,,,
PLA2G7,3,,,,,
PLEKHO1,3,,,,,
PPP1R1A,3,,,,,
PRIMPOL,3,,,,,
PRRT1,3,,,,,
PSMD5,3,,,,,
RASSF4,3,,,,,
RRP7A,3,,,,,
SEMA4A,3,,,,,
SERINC3,3,,,,,
SLC13A3,3,,,,,
SLC5A5,3,,,,,
SVIL,3,,,,,
THEMIS2,3,,,,,
TKT,3,,,,,
TUBB2B,3,,,,,
WDR48,3,,,,,
ZC3H12D,3,,,,,
APOBEC1,2,,,,,
ATP13A3,2,,,,,
C1RA,2,,,,,
CASS4,2,,,,,
CST10,2,,,,,
CTTNBP2,2,,,,,
DAGLB,2,,,,,
DCST1,2,,,,,
DPYSL5,2,,,,,
ELF5,2,,,,,
ELFN1,2,,,,,
ENHO,2,,,,,
EXOSC9,2,,,,,
FKBP5,2,,,,,
FTL1,2,,,,,
GOSR2,2,,,,,
HAGLR,2,,,,,
HTRA3,2,,,,,
IQCG,2,,,,,
IVNS1ABP,2,,,,,
KNSTRN,2,,,,,
LNCPINT,2,,,,,
LY6A,2,,,,,
MGME1,2,,,,,
MOCS1,2,,,,,
MOXD1,2,,,,,
MRPL47,2,,,,,
NAIP5,2,,,,,
NRXN2,2,,,,,
NRXN3,2,,,,,
NUBP1,2,,,,,
OXSM,2,,,,,
PCMT1,2,,,,,
PFKFB1,2,,,,,
PLA2G12A,2,,,,,
PLOD3,2,,,,,
PPM1N,2,,,,,
PPP1R1C,2,,,,,
PTMA,2,,,,,
RTN2,2,,,,,
RUNDC1,2,,,,,
SLC15A3,2,,,,,
SNTA1,2,,,,,
SPIDR,2,,,,,
ST8SIA4,2,,,,,
STC2,2,,,,,
TMEM132A,2,,,,,
TRMT2A,2,,,,,
TRPM5,2,,,,,
TSPAN13,2,,,,,
TSSC4,2,,,,,
TTLL4,2,,,,,
VTCN1,2,,,,,
ZBTB8OS,2,,,,,
ZCCHC17,2,,,,,
